intersection_group,movement_key,inter_id,approach_node,dir_code,direction,event_time_sec,green
15,215173_216151_s,215173,216151,s,직진,3000.0,1
15,215173_216151_s,215173,216151,s,직진,3117.0,0
15,215173_216151_s,215173,216151,s,직진,3117.0,0
15,215173_216151_s,215173,216151,s,직진,3117.0,0
15,215173_216151_s,215173,216151,s,직진,3117.0,0
15,215173_216151_s,215173,216151,s,직진,3180.0,1
15,215173_216151_s,215173,216151,s,직진,3180.0,1
15,215173_216151_s,215173,216151,s,직진,3180.0,1
15,215173_216151_s,215173,216151,s,직진,3180.0,1
15,215173_216151_s,215173,216151,s,직진,3237.0,0
15,215173_216151_s,215173,216151,s,직진,3237.0,0
15,215173_216151_s,215173,216151,s,직진,3237.0,0
15,215173_216151_s,215173,216151,s,직진,3237.0,0
15,215173_216151_s,215173,216151,s,직진,3360.0,1
15,215173_216151_s,215173,216151,s,직진,3360.0,1
15,215173_216151_s,215173,216151,s,직진,3360.0,1
15,215173_216151_s,215173,216151,s,직진,3360.0,1
15,215173_216151_s,215173,216151,s,직진,3417.0,0
15,215173_216151_s,215173,216151,s,직진,3417.0,0
15,215173_216151_s,215173,216151,s,직진,3417.0,0
15,215173_216151_s,215173,216151,s,직진,3417.0,0
15,215173_216151_s,215173,216151,s,직진,3480.0,1
15,215173_216151_s,215173,216151,s,직진,3480.0,1
15,215173_216151_s,215173,216151,s,직진,3480.0,1
15,215173_216151_s,215173,216151,s,직진,3480.0,1
15,215173_216151_s,215173,216151,s,직진,3597.0,0
15,215173_216151_s,215173,216151,s,직진,3597.0,0
15,215173_216151_s,215173,216151,s,직진,3597.0,0
15,215173_216151_s,215173,216151,s,직진,3597.0,0
15,215173_216286_l,215173,216286,l,좌회전,120.0,1
15,215173_216286_l,215173,216286,l,좌회전,177.0,0
15,215173_216286_l,215173,216286,l,좌회전,420.0,1
15,215173_216286_l,215173,216286,l,좌회전,477.0,0
15,215173_216286_l,215173,216286,l,좌회전,1260.0,1
15,215173_216286_l,215173,216286,l,좌회전,1317.0,0
15,215173_216286_l,215173,216286,l,좌회전,1380.0,1
15,215173_216286_l,215173,216286,l,좌회전,1437.0,0
15,215173_216286_l,215173,216286,l,좌회전,1740.0,1
15,215173_216286_l,215173,216286,l,좌회전,1797.0,0
15,215173_216286_l,215173,216286,l,좌회전,1860.0,1
15,215173_216286_l,215173,216286,l,좌회전,1917.0,0
15,215173_216286_l,215173,216286,l,좌회전,2340.0,1
15,215173_216286_l,215173,216286,l,좌회전,2397.0,0
15,215173_216286_l,215173,216286,l,좌회전,2820.0,1
15,215173_216286_l,215173,216286,l,좌회전,2877.0,0
15,215173_216286_l,215173,216286,l,좌회전,3300.0,1
15,215173_216286_l,215173,216286,l,좌회전,3357.0,0
15,215173_216286_s,215173,216286,s,직진,60.0,1
15,215173_216286_s,215173,216286,s,직진,60.0,1
15,215173_216286_s,215173,216286,s,직진,60.0,1
15,215173_216286_s,215173,216286,s,직진,60.0,1
15,215173_216286_s,215173,216286,s,직진,117.0,0
15,215173_216286_s,215173,216286,s,직진,117.0,0
15,215173_216286_s,215173,216286,s,직진,117.0,0
15,215173_216286_s,215173,216286,s,직진,117.0,0
15,215173_216286_s,215173,216286,s,직진,240.0,1
15,215173_216286_s,215173,216286,s,직진,240.0,1
15,215173_216286_s,215173,216286,s,직진,240.0,1
15,215173_216286_s,215173,216286,s,직진,240.0,1
15,215173_216286_s,215173,216286,s,직진,297.0,0
15,215173_216286_s,215173,216286,s,직진,297.0,0
15,215173_216286_s,215173,216286,s,직진,297.0,0
15,215173_216286_s,215173,216286,s,직진,297.0,0
15,215173_216286_s,215173,216286,s,직진,540.0,1
15,215173_216286_s,215173,216286,s,직진,540.0,1
15,215173_216286_s,215173,216286,s,직진,540.0,1
15,215173_216286_s,215173,216286,s,직진,540.0,1
15,215173_216286_s,215173,216286,s,직진,597.0,0
15,215173_216286_s,215173,216286,s,직진,597.0,0
15,215173_216286_s,215173,216286,s,직진,597.0,0
15,215173_216286_s,215173,216286,s,직진,597.0,0
15,215173_216286_s,215173,216286,s,직진,720.0,1
15,215173_216286_s,215173,216286,s,직진,720.0,1
15,215173_216286_s,215173,216286,s,직진,720.0,1
15,215173_216286_s,215173,216286,s,직진,720.0,1
15,215173_216286_s,215173,216286,s,직진,777.0,0
15,215173_216286_s,215173,216286,s,직진,777.0,0
15,215173_216286_s,215173,216286,s,직진,777.0,0
15,215173_216286_s,215173,216286,s,직진,777.0,0
15,215173_216286_s,215173,216286,s,직진,1200.0,1
15,215173_216286_s,215173,216286,s,직진,1200.0,1
15,215173_216286_s,215173,216286,s,직진,1200.0,1
15,215173_216286_s,215173,216286,s,직진,1200.0,1
15,215173_216286_s,215173,216286,s,직진,1257.0,0
15,215173_216286_s,215173,216286,s,직진,1257.0,0
15,215173_216286_s,215173,216286,s,직진,1257.0,0
15,215173_216286_s,215173,216286,s,직진,1257.0,0
15,215173_216286_s,215173,216286,s,직진,1500.0,1
15,215173_216286_s,215173,216286,s,직진,1500.0,1
15,215173_216286_s,215173,216286,s,직진,1500.0,1
15,215173_216286_s,215173,216286,s,직진,1500.0,1
15,215173_216286_s,215173,216286,s,직진,1557.0,0
15,215173_216286_s,215173,216286,s,직진,1557.0,0
15,215173_216286_s,215173,216286,s,직진,1557.0,0
15,215173_216286_s,215173,216286,s,직진,1557.0,0
15,215173_216286_s,215173,216286,s,직진,1680.0,1
15,215173_216286_s,215173,216286,s,직진,1680.0,1
15,215173_216286_s,215173,216286,s,직진,1680.0,1
15,215173_216286_s,215173,216286,s,직진,1680.0,1
15,215173_216286_s,215173,216286,s,직진,1737.0,0
15,215173_216286_s,215173,216286,s,직진,1737.0,0
15,215173_216286_s,215173,216286,s,직진,1737.0,0
15,215173_216286_s,215173,216286,s,직진,1737.0,0
15,215173_216286_s,215173,216286,s,직진,1980.0,1
15,215173_216286_s,215173,216286,s,직진,1980.0,1
15,215173_216286_s,215173,216286,s,직진,1980.0,1
15,215173_216286_s,215173,216286,s,직진,1980.0,1
15,215173_216286_s,215173,216286,s,직진,2037.0,0
15,215173_216286_s,215173,216286,s,직진,2037.0,0
15,215173_216286_s,215173,216286,s,직진,2037.0,0
15,215173_216286_s,215173,216286,s,직진,2037.0,0
15,215173_216286_s,215173,216286,s,직진,2160.0,1
15,215173_216286_s,215173,216286,s,직진,2160.0,1
15,215173_216286_s,215173,216286,s,직진,2160.0,1
15,215173_216286_s,215173,216286,s,직진,2160.0,1
15,215173_216286_s,215173,216286,s,직진,2217.0,0
15,215173_216286_s,215173,216286,s,직진,2217.0,0
15,215173_216286_s,215173,216286,s,직진,2217.0,0
15,215173_216286_s,215173,216286,s,직진,2217.0,0
15,215173_216286_s,215173,216286,s,직진,2460.0,1
15,215173_216286_s,215173,216286,s,직진,2460.0,1
15,215173_216286_s,215173,216286,s,직진,2460.0,1
15,215173_216286_s,215173,216286,s,직진,2460.0,1
15,215173_216286_s,215173,216286,s,직진,2517.0,0
15,215173_216286_s,215173,216286,s,직진,2517.0,0
15,215173_216286_s,215173,216286,s,직진,2517.0,0
15,215173_216286_s,215173,216286,s,직진,2517.0,0
15,215173_216286_s,215173,216286,s,직진,2940.0,1
15,215173_216286_s,215173,216286,s,직진,2940.0,1
15,215173_216286_s,215173,216286,s,직진,2940.0,1
15,215173_216286_s,215173,216286,s,직진,2940.0,1
15,215173_216286_s,215173,216286,s,직진,2997.0,0
15,215173_216286_s,215173,216286,s,직진,2997.0,0
15,215173_216286_s,215173,216286,s,직진,2997.0,0
15,215173_216286_s,215173,216286,s,직진,2997.0,0
15,215173_216286_s,215173,216286,s,직진,3420.0,1
15,215173_216286_s,215173,216286,s,직진,3420.0,1
15,215173_216286_s,215173,216286,s,직진,3420.0,1
15,215173_216286_s,215173,216286,s,직진,3420.0,1
